index,original,resolved,passed
48,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
49,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
50,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
51,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
52,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
53,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
54,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
55,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
56,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
57,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
58,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
59,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
60,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
61,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
62,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
63,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
64,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
65,Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with Sunita colleagues.,True
66,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
67,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
68,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
69,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
70,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
71,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
72,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
73,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
74,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
75,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
76,Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True
77,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
78,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
79,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
80,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
81,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
82,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
83,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
84,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
85,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
86,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
87,Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True
88,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
89,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
90,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
91,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
92,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
93,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
94,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
95,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
96,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
97,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
98,Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True
99,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
100,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
101,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
102,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
103,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
104,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
105,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
106,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
107,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
108,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
109,Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put them in a vase.,True
110,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
111,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
112,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
113,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
114,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
115,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
116,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
117,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
118,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
119,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
120,Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True
121,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
122,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
123,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
124,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
125,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
126,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
127,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
128,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
129,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
130,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
131,Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True
132,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
133,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
134,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
135,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
136,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
137,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
138,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
139,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
140,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
141,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
142,Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True
143,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
144,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
145,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
146,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
147,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
148,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
149,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
150,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
151,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
152,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
153,Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True
154,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
155,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
156,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
157,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
158,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
159,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
160,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
161,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
162,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
163,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
164,Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True
165,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
166,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
167,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
168,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
169,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
170,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
171,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
172,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
173,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
174,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
175,Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True
176,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
177,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
178,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
179,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
180,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
181,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
182,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
183,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
184,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
185,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
186,Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True
187,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
188,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
189,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
190,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
191,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
192,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
193,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
194,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
195,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
196,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
197,Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True
198,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
199,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
200,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
201,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
202,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
203,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
204,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
205,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
206,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
207,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
208,Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True
209,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
210,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
211,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
212,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
213,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
214,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
215,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
216,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
217,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
218,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
219,Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True
220,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
221,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
222,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
223,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
224,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
225,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
226,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
227,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
228,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
229,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
230,The man read the notice. He followed the instructions in it.,The man read the notice. The man followed the instructions in it.,True
231,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
232,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
233,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
234,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
235,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
236,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
237,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
238,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
239,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
240,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
241,The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The woman turned it on to test it.,True
242,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
243,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
244,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
245,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
246,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
247,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
248,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
249,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
250,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
251,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
252,The child slept early. His mother covered him with a blanket.,The child slept early. His mother covered him with a blanket.,False
253,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
254,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
255,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
256,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
257,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
258,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
259,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
260,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
261,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
262,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
263,The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook.,True
264,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
265,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
266,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
267,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
268,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
269,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
270,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
271,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
272,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
273,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
274,Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung them on the line.,True
275,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
276,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
277,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
278,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
279,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
280,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
281,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
282,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
283,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
284,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
285,Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True
286,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
287,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
288,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
289,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
290,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
291,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
292,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
293,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
294,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
295,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
296,The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The girl borrowed one from the girl friend.,True
297,The man fixed the fence. His neighbor thanked him for it.,The man fixed the fence. The man's neighbor thanked the man for it.,True
298,The man fixed the fence. His neighbor thanked him for it.,The man fixed the fence. The man's neighbor thanked the man for it.,True
299,The man fixed the fence. His neighbor thanked him for it.,The man fixed the fence. The man's neighbor thanked the man for it.,True
300,The man fixed the fence. His neighbor thanked him for it.,The man fixed the fence. The man's neighbor thanked the man for it.,True
301,The man fixed the fence. His neighbor thanked him for it.,The man fixed the fence. The man's neighbor thanked the man for it.,True
302,The man fixed the fence. His neighbor thanked him for it.,The man fixed the fence. The man's neighbor thanked the man for it.,True
303,The man fixed the fence. His neighbor thanked him for it.,The man fixed the fence. The man's neighbor thanked the man for it.,True
