input,expected_resolved,should_resolve,target_language
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,malayalam
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,punjabi
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,odia
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,assamese
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,hindi
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,bengali
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,tamil
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,telugu
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,marathi
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,gujarati
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,kannada
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,malayalam
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,punjabi
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,odia
Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True,assamese
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,hindi
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,bengali
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,tamil
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,telugu
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,marathi
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,gujarati
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,kannada
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,malayalam
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,punjabi
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,odia
The boy fell down. He hurt his knee.,The boy fell down. The hurt the's knee.,True,assamese
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,hindi
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,bengali
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,tamil
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,telugu
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,marathi
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,gujarati
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,kannada
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,malayalam
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,punjabi
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,odia
Sunita baked a cake. She shared it with her colleagues.,Sunita baked a cake. Sunita shared it with sunita colleagues.,True,assamese
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,hindi
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,bengali
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,tamil
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,telugu
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,marathi
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,gujarati
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,kannada
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,malayalam
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,punjabi
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,odia
Gopal fixed his bicycle. He rode it to school.,Gopal fixed his bicycle. Gopal rode it to school.,True,assamese
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,hindi
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,bengali
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,tamil
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,telugu
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,marathi
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,gujarati
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,kannada
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,malayalam
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,punjabi
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,odia
Rekha wrote a letter. She posted it the same day.,Rekha wrote a letter. Rekha posted it the same day.,True,assamese
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,hindi
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,bengali
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,tamil
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,telugu
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,marathi
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,gujarati
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,kannada
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,malayalam
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,punjabi
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,odia
Suresh lost his key. He searched for it everywhere.,Suresh lost his key. Suresh searched for it everywhere.,True,assamese
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,hindi
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,bengali
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,tamil
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,telugu
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,marathi
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,gujarati
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,kannada
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,malayalam
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,punjabi
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,odia
Anita bought flowers. She put them in a vase.,Anita bought flowers. Anita put anita in a vase.,True,assamese
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,hindi
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,bengali
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,tamil
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,telugu
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,marathi
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,gujarati
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,kannada
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,malayalam
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,punjabi
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,odia
Vivek borrowed a book. He finished it in two days.,Vivek borrowed a book. Vivek finished it in two days.,True,assamese
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,hindi
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,bengali
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,tamil
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,telugu
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,marathi
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,gujarati
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,kannada
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,malayalam
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,punjabi
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,odia
Kavita read the newspaper. She left it on the table.,Kavita read the newspaper. Kavita left it on the table.,True,assamese
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,hindi
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,bengali
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,tamil
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,telugu
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,marathi
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,gujarati
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,kannada
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,malayalam
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,punjabi
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,odia
Mohan woke up late. He missed the morning bus.,Mohan woke up late. Mohan missed the morning bus.,True,assamese
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,hindi
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,bengali
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,tamil
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,telugu
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,marathi
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,gujarati
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,kannada
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,malayalam
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,punjabi
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,odia
Shalini received a gift. She opened it excitedly.,Shalini received a gift. Shalini opened it excitedly.,True,assamese
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,hindi
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,bengali
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,tamil
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,telugu
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,marathi
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,gujarati
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,kannada
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,malayalam
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,punjabi
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,odia
Ajay forgot his umbrella. He got wet in the rain.,Ajay forgot his umbrella. Ajay got wet in the rain.,True,assamese
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,hindi
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,bengali
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,tamil
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,telugu
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,marathi
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,gujarati
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,kannada
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,malayalam
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,punjabi
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,odia
Deepa cleaned the room. She found a coin under the bed.,Deepa cleaned the room. Deepa found a coin under the bed.,True,assamese
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,hindi
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,bengali
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,tamil
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,telugu
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,marathi
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,gujarati
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,kannada
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,malayalam
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,punjabi
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,odia
Ravi cooked breakfast. He burnt the toast.,Ravi cooked breakfast. Ravi burnt the toast.,True,assamese
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,hindi
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,bengali
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,tamil
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,telugu
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,marathi
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,gujarati
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,kannada
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,malayalam
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,punjabi
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,odia
Nisha bought a new bag. She packed it carefully.,Nisha bought a new bag. Nisha packed it carefully.,True,assamese
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,hindi
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,bengali
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,tamil
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,telugu
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,marathi
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,gujarati
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,kannada
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,malayalam
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,punjabi
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,odia
Hari spilled the milk. He wiped it with a cloth.,Hari spilled the milk. Hari wiped it with a cloth.,True,assamese
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,hindi
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,bengali
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,tamil
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,telugu
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,marathi
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,gujarati
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,kannada
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,malayalam
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,punjabi
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,odia
Pooja found a lost puppy. She took it home.,Pooja found a lost puppy. Pooja took it home.,True,assamese
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,hindi
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,bengali
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,tamil
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,telugu
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,marathi
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,gujarati
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,kannada
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,malayalam
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,punjabi
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,odia
The man read the notice. He followed the instructions in it.,The man read the notice. The followed the instructions in the man read the.,True,assamese
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,hindi
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,bengali
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,tamil
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,telugu
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,marathi
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,gujarati
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,kannada
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,malayalam
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,punjabi
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,odia
The woman repaired the tap. She turned it on to test it.,The woman repaired the tap. The turned the woman repaired the on to test the woman repaired the.,True,assamese
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,hindi
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,bengali
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,tamil
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,telugu
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,marathi
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,gujarati
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,kannada
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,malayalam
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,punjabi
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,odia
The child slept early. His mother covered him with a blanket.,The child slept early. The's mother covered the with a blanket.,True,assamese
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,hindi
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,bengali
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,tamil
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,telugu
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,marathi
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,gujarati
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,kannada
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,malayalam
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,punjabi
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,odia
The cook made the curry too spicy. The family could not finish it.,The cook made the curry too spicy. The family could not finish the cook made the.,True,assamese
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,hindi
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,bengali
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,tamil
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,telugu
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,marathi
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,gujarati
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,kannada
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,malayalam
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,punjabi
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,odia
Preeti washed the clothes. She hung them on the line.,Preeti washed the clothes. Preeti hung preeti on the line.,True,assamese
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,hindi
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,bengali
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,tamil
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,telugu
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,marathi
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,gujarati
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,kannada
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,malayalam
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,punjabi
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,odia
Suresh planted a tree. He watered it every day.,Suresh planted a tree. Suresh watered it every day.,True,assamese
The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The borrowed one from the friend.,True,hindi
The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The borrowed one from the friend.,True,bengali
The girl lost her pencil. She borrowed one from her friend.,The girl lost her pencil. The borrowed one from the friend.,True,tamil
